time(ms)	OriginalData	FilteredData
7321.83	-3.6599	-2.30389
7322.83	-1.7567	-2.2801
7323.83	-3.96633	-2.2803
7324.84	-3.03074	-2.36406
7325.87	1.06593	-2.31704
7326.83	-5.15598	-2.29682
7327.83	-0.773472	-2.18436
7328.84	-2.57099	-2.1831
7329.83	-4.45947	-2.30137
7330.83	-4.98137	-2.42576
7331.83	-0.490322	-2.33926
7332.86	-3.54506	-2.35207
7333.83	1.07557	-2.35351
7334.83	-2.99049	-2.42354
7335.83	-4.37083	-2.53594
7336.86	-2.60742	-2.47587
7337.9	-3.11108	-2.56583
7338.87	-4.60076	-2.57197
7339.84	-4.87889	-2.6523
7340.83	-0.222441	-2.671
7341.85	-6.06036	-2.69839
7342.99	-3.38744	-2.7823
7344.08	0.344222	-2.66972
7344.9	-3.61892	-2.64245
7345.86	-5.06283	-2.67184
7346.84	-1.9667	-2.71716
7347.84	0.608045	-2.6182
7348.84	-6.71707	-2.65024
7349.84	-1.43646	-2.56094
7350.83	-4.23729	-2.63446
7351.84	0.645334	-2.57434
7352.87	-1.76147	-2.58941
7353.83	0.184754	-2.57223
7354.84	0.321457	-2.49554
7355.84	0.0319855	-2.42737
7356.84	-1.0848	-2.35229
7357.84	-6.38666	-2.42812
7358.84	-4.17794	-2.53444
7359.83	-6.22485	-2.63092
7360.84	-3.75321	-2.71073
7361.84	-1.82347	-2.69523
7362.83	-2.10293	-2.64531
7363.84	-1.85907	-2.56077
7364.84	-4.04218	-2.60237
7365.87	-2.85693	-2.56487
7366.83	-4.5845	-2.68039
7367.84	-5.50847	-2.7009
7368.83	-1.9598	-2.69294
7369.86	-5.71007	-2.80704
7370.84	-6.21649	-2.9087
7371.84	0.395569	-2.82759
7372.84	-3.56535	-2.86376
7373.83	-0.137506	-2.78718
7374.84	-1.93116	-2.76519
7375.83	1.24736	-2.76156
7376.85	-2.83596	-2.71516
7377.85	1.16944	-2.6763
7378.87	-5.79561	-2.7408
7379.84	-0.343916	-2.65849
7380.84	-4.8292	-2.65544
7381.84	1.07607	-2.62411
7382.84	-1.47683	-2.58275
7383.84	-4.15171	-2.6873
7384.83	-1.89349	-2.66536
7385.84	-4.3687	-2.66531
7386.83	-6.13531	-2.73587
7387.84	-3.66195	-2.74689
7388.84	-2.67511	-2.70838
7389.84	-1.91035	-2.649
7390.84	-1.48266	-2.67421
7391.86	0.109458	-2.55081
7392.87	-1.67099	-2.51648
7393.83	-3.42816	-2.59193
7394.85	-1.76789	-2.55491
7395.83	-4.4309	-2.54227
7396.84	-5.08083	-2.60455
7397.84	0.616214	-2.60439
7398.84	-4.43161	-2.55868
7399.84	-2.48988	-2.57975
7400.84	-0.702362	-2.50905
7401.84	-0.127926	-2.52452
7402.84	-5.18248	-2.59294
7403.85	-2.65493	-2.64973
7404.83	-3.62838	-2.72873
7405.84	-1.8182	-2.76573
7406.84	0.752575	-2.72898
7407.84	-0.148591	-2.60422
7408.84	-1.48499	-2.55036
7409.84	-5.69517	-2.53977
7410.84	1.45836	-2.43554
7411.84	-4.3142	-2.48535
7412.85	-2.97269	-2.50275
7413.83	0.532536	-2.45492
7414.84	-2.51289	-2.42433
7415.84	-5.08825	-2.46896
7416.85	-5.44911	-2.48625
7417.84	-5.5589	-2.48726
7418.88	-0.403076	-2.45612
7419.84	-5.20744	-2.44607
7420.84	-5.31162	-2.42797
